# PA-G-series-02.dat 1500 values t  z(t) 
 33.7558  0.421834   
 33.8225  0.357239   
 33.8893  0.369448   
 33.956  0.437463   
 34.0227  0.490818   
 34.0894  0.476363   
 34.1561  0.408542   
 34.2228  0.355737   
 34.2895  0.375557   
 34.3562  0.460119   
 34.4229  0.54293   
 34.4897  0.56093   
 34.5564  0.513191   
 34.6231  0.460983   
 34.6898  0.469163   
 34.7565  0.544216   
 34.8232  0.627419   
 34.8899  0.649609   
 34.9566  0.59594   
 35.0233  0.519576   
 35.0901  0.491432   
 35.1568  0.533354   
 35.2235  0.597766   
 35.2902  0.612954   
 35.3569  0.551265   
 35.4236  0.455875   
 35.4903  0.400845   
 35.557  0.422093   
 35.6237  0.484347   
 35.6905  0.515194   
 35.7572  0.474076   
 35.8239  0.391135   
 35.8906  0.339231   
 35.9573  0.36551   
 36.024  0.447038   
 36.0907  0.512341   
 36.1574  0.508534   
 36.2241  0.450759   
 36.2909  0.407312   
 36.3576  0.434538   
 36.4243  0.522902   
 36.491  0.605165   
 36.5577  0.618972   
 36.6244  0.564881   
 36.6911  0.505145   
 36.7578  0.504433   
 36.8245  0.568413   
 36.8913  0.638161   
 36.958  0.645655   
 37.0247  0.578049   
 37.0914  0.490082   
 37.1581  0.452923   
 37.2248  0.487659   
 37.2915  0.546125   
 37.3582  0.557121   
 37.4249  0.494383   
 37.4917  0.402169   
 37.5584  0.354288   
 37.6251  0.385165   
 37.6918  0.457932   
 37.7585  0.499592   
 37.8252  0.47009   
 37.8919  0.400127   
 37.9586  0.362063   
 38.0254  0.401348   
 38.0921  0.493174   
 38.1588  0.565245   
 38.2255  0.565224   
 38.2922  0.509294   
 38.3589  0.46607   
 38.4256  0.491074   
 38.4923  0.573622   
 38.559  0.64624   
 38.6258  0.647765   
 38.6925  0.580652   
 38.7592  0.508462   
 38.8259  0.495904   
 38.8926  0.547983   
 38.9593  0.605631   
 39.026  0.601922   
 39.0927  0.525832   
 39.1594  0.433382   
 39.2262  0.395607   
 39.2929  0.432396   
 39.3596  0.49454   
 39.4263  0.510882   
 39.493  0.456066   
 39.5597  0.374961   
 39.6264  0.340692   
 39.6931  0.38585   
 39.7598  0.471744   
 39.8266  0.524684   
 39.8933  0.505106   
 39.96  0.444347   
 40.0267  0.414436   
 40.0934  0.459405   
 40.1601  0.552955   
 40.2268  0.622427   
 40.2935  0.616532   
 40.3602  0.552984   
 40.427  0.501173   
 40.4937  0.516239   
 40.5604  0.586744   
 40.6271  0.645319   
 40.6938  0.632237   
 40.7605  0.551971   
 40.8272  0.469374   
 40.8939  0.449071   
 40.9606  0.495192   
 41.0274  0.548239   
 41.0941  0.54202   
 41.1608  0.466893   
 41.2275  0.379655   
 41.2942  0.350692   
 41.3609  0.398206   
 41.4276  0.471513   
 41.4943  0.499141   
 41.561  0.456345   
 41.6278  0.38838   
 41.6945  0.367561   
 41.7612  0.424644   
 41.8279  0.519245   
 41.8946  0.577233   
 41.9613  0.559865   
 42.028  0.499501   
 42.0947  0.468266   
 42.1614  0.509245   
 42.2282  0.59515   
 42.2949  0.653467   
 42.3616  0.634403   
 42.4283  0.557573   
 42.495  0.493414   
 42.5617  0.496854   
 42.6284  0.555793   
 42.6951  0.602963   
 42.7618  0.579959   
 42.8286  0.493028   
 42.8953  0.407964   
 42.962  0.388882   
 43.0287  0.438573   
 43.0954  0.496645   
 43.1621  0.497163   
 43.2288  0.431401   
 43.2955  0.356483   
 43.3622  0.341757   
 43.429  0.403457   
 43.4957  0.489264   
 43.5624  0.527341   
 43.6291  0.493609   
 43.6958  0.433844   
 43.7625  0.419782   
 43.8292  0.480674   
 43.8959  0.574875   
 43.9626  0.628301   
 44.0294  0.603535   
 44.0961  0.534441   
 44.1628  0.493685   
 44.2295  0.52381   
 44.2962  0.5969   
 44.3629  0.640872   
 44.4296  0.607611   
 44.4963  0.518679   
 44.563  0.445473   
 44.6298  0.442527   
 44.6965  0.496813   
 44.7632  0.540833   
 44.8299  0.517098   
 44.8966  0.433158   
 44.9633  0.355232   
 45.03  0.346412   
 45.0967  0.407688   
 45.1634  0.47738   
 45.2302  0.489499   
 45.2969  0.435983   
 45.3636  0.374119   
 45.4303  0.37216   
 45.497  0.444439   
 45.5637  0.537203   
 45.6304  0.57856   
 45.6971  0.54547   
 45.7638  0.484645   
 45.8306  0.467695   
 45.8973  0.522852   
 45.964  0.607709   
 46.0307  0.648712   
 46.0974  0.610183   
 46.1641  0.527807   
 46.2308  0.474998   
 46.2975  0.493877   
 46.3642  0.555926   
 46.431  0.589428   
 46.4977  0.54776   
 46.5644  0.454129   
 46.6311  0.380492   
 46.6978  0.380528   
 46.7645  0.439806   
 46.8312  0.490125   
 46.8979  0.474449   
 46.9646  0.401178   
 47.0314  0.33654   
 47.0981  0.342271   
 47.1648  0.417339   
 47.2315  0.498684   
 47.2982  0.52028   
 47.3649  0.474843   
 47.4316  0.420019   
 47.4983  0.423248   
 47.565  0.497347   
 47.6318  0.587597   
 47.6985  0.622556   
 47.7652  0.580727   
 47.8319  0.510225   
 47.8986  0.482949   
 47.9653  0.526485   
 48.032  0.59798   
 48.0987  0.624638   
 48.1654  0.572632   
 48.2322  0.47944   
 48.2989  0.419076   
 48.3656  0.432992   
 48.4323  0.49176   
 48.499  0.52365   
 48.5657  0.483097   
 48.6324  0.394453   
 48.6991  0.329721   
 48.7658  0.341227   
 48.8326  0.412709   
 48.8993  0.474915   
 48.966  0.470994   
 49.0327  0.410003   
 49.0994  0.358078   
 49.1661  0.375606   
 49.2328  0.459676   
 49.2995  0.546114   
 49.3662  0.569213   
 49.433  0.522876   
 49.4997  0.46555   
 49.5664  0.464332   
 49.6331  0.531011   
 49.6998  0.61039   
 49.7665  0.631931   
 49.8332  0.576043   
 49.8999  0.492503   
 49.9666  0.45365   
 50.0334  0.486476   
 50.1001  0.547651   
 50.1668  0.565004   
 50.2335  0.506311   
 50.3002  0.410483   
 50.3669  0.351695   
 50.4336  0.370247   
 50.5003  0.435318   
 50.567  0.474699   
 50.6338  0.443431   
 50.7005  0.366588   
 50.7672  0.315841   
 50.8339  0.341891   
 50.9006  0.426491   
 50.9673  0.499315   
 51.034  0.503777   
 51.1007  0.449764   
 51.1674  0.403569   
 51.2342  0.424569   
 51.3009  0.508401   
 51.3676  0.590269   
 51.4343  0.605302   
 51.501  0.549084   
 51.5677  0.481302   
 51.6344  0.469094   
 51.7011  0.523555   
 51.7678  0.589273   
 51.8346  0.596779   
 51.9013  0.528425   
 51.968  0.435555   
 52.0347  0.390732   
 52.1014  0.420061   
 52.1681  0.479378   
 52.2348  0.496727   
 52.3015  0.441023   
 52.3682  0.352102   
 52.435  0.303784   
 52.5017  0.334754   
 52.5684  0.412407   
 52.6351  0.463757   
 52.7018  0.444234   
 52.7685  0.379502   
 52.8352  0.340863   
 52.9019  0.377472   
 52.9686  0.469306   
 53.0354  0.545287   
 53.1021  0.5495   
 53.1688  0.493095   
 53.2355  0.442981   
 53.3022  0.458003   
 53.3689  0.532831   
 53.4356  0.602515   
 53.5023  0.603431   
 53.569  0.533155   
 53.6358  0.452808   
 53.7025  0.429659   
 53.7692  0.4741   
 53.8359  0.530411   
 53.9026  0.529994   
 53.9693  0.45684   
 54.036  0.363448   
 54.1027  0.322133   
 54.1694  0.35762   
 54.2362  0.424429   
 54.3029  0.450366   
 54.3696  0.405052   
 54.4363  0.328857   
 54.503  0.294928   
 54.5697  0.340116   
 54.6364  0.429956   
 54.7031  0.490727   
 54.7698  0.478393   
 54.8366  0.419432   
 54.9033  0.385079   
 54.97  0.423327   
 55.0367  0.512842   
 55.1034  0.582307   
 55.1701  0.576985   
 55.2368  0.509768   
 55.3035  0.44859   
 55.3702  0.452107   
 55.437  0.514307   
 55.5037  0.570297   
 55.5704  0.557794   
 55.6371  0.476332   
 55.7038  0.3883   
 55.7705  0.360826   
 55.8372  0.403257   
 55.9039  0.459172   
 55.9706  0.460408   
 56.0374  0.392108   
 56.1041  0.307413   
 56.1708  0.277898   
 56.2375  0.326474   
 56.3042  0.406007   
 56.3709  0.443816   
 56.4376  0.410073   
 56.5043  0.345609   
 56.571  0.322924   
 56.6378  0.377187   
 56.7045  0.472344   
 56.7712  0.534314   
 56.8379  0.520033   
 56.9046  0.457251   
 56.9713  0.417605   
 57.038  0.448401   
 57.1047  0.527466   
 57.1714  0.583682   
 57.2382  0.563856   
 57.3049  0.482868   
 57.3716  0.409808   
 57.4383  0.403168   
 57.505  0.456188   
 57.5717  0.50387   
 57.6384  0.485024   
 57.7051  0.400774   
 57.7718  0.314332   
 57.8386  0.292185   
 57.9053  0.34214   
 57.972  0.406606   
 58.0387  0.417414   
 58.1054  0.360463   
 58.1721  0.289187   
 58.2388  0.274155   
 58.3055  0.336317   
 58.3722  0.426878   
 58.439  0.47278   
 58.5057  0.444948   
 58.5724  0.384951   
 58.6391  0.364989   
 58.7058  0.418978   
 58.7725  0.509762   
 58.8392  0.563423   
 58.9059  0.538367   
 58.9726  0.464059   
 59.0394  0.412911   
 59.1061  0.431845   
 59.1728  0.49808   
 59.2395  0.540845   
 59.3062  0.508516   
 59.3729  0.417853   
 59.4396  0.338873   
 59.5063  0.329579   
 59.573  0.382079   
 59.6398  0.430854   
 59.7065  0.415336   
 59.7732  0.337752   
 59.8399  0.261627   
 59.9066  0.252343   
 59.9733  0.315778   
 60.04  0.392882   
 60.1067  0.415298   
 60.1734  0.369575   
 60.2402  0.309433   
 60.3069  0.304527   
 60.3736  0.374068   
 60.4403  0.467926   
 60.507  0.513092   
 60.5737  0.4817   
 60.6404  0.416531   
 60.7071  0.389958   
 60.7738  0.435107   
 60.8406  0.514172   
 60.9073  0.553799   
 60.974  0.514168   
 61.0407  0.426647   
 61.1074  0.364485   
 61.1741  0.374179   
 61.2408  0.432217   
 61.3075  0.467955   
 61.3742  0.431029   
 61.441  0.339671   
 61.5077  0.264338   
 61.5744  0.26204   
 61.6411  0.323261   
 61.7078  0.381504   
 61.7745  0.376422   
 61.8412  0.310974   
 61.9079  0.248701   
 61.9746  0.253677   
 62.0414  0.329777   
 62.1081  0.416555   
 62.1748  0.445637   
 62.2415  0.404482   
 62.3082  0.347418   
 62.3749  0.343578   
 62.4416  0.410888   
 62.5083  0.498398   
 62.5751  0.533657   
 62.6418  0.490494   
 62.7085  0.413305   
 62.7752  0.374963   
 62.8419  0.408058   
 62.9086  0.474313   
 62.9753  0.501015   
 63.042  0.450076   
 63.1087  0.354588   
 63.1755  0.288345   
 63.2422  0.297052   
 63.3089  0.356047   
 63.3756  0.394372   
 63.4423  0.362443   
 63.509  0.279468   
 63.5757  0.21586   
 63.6424  0.227198   
 63.7091  0.302011   
 63.7759  0.372596   
 63.8426  0.378694   
 63.9093  0.323961   
 63.976  0.272007   
 64.0427  0.285756   
 64.1094  0.367362   
 64.1761  0.455369   
 64.2428  0.481838   
 64.3095  0.435619   
 64.3763  0.372124   
 64.443  0.360428   
 64.5097  0.417625   
 64.5764  0.492361   
 64.6431  0.5131   
 64.7098  0.455607   
 64.7765  0.366011   
 64.8432  0.317683   
 64.9099  0.342574   
 64.9767  0.401753   
 65.0434  0.422875   
 65.1101  0.369222   
 65.1768  0.275159   
 65.2435  0.214522   
 65.3102  0.231712   
 65.3769  0.300442   
 65.4436  0.349011   
 65.5103  0.328241   
 65.5771  0.257993   
 65.6438  0.208391   
 65.7105  0.233453   
 65.7772  0.319746   
 65.8439  0.398494   
 65.9106  0.40976   
 65.9773  0.358204   
 66.044  0.307867   
 66.1107  0.320953   
 66.1775  0.398375   
 66.2442  0.478182   
 66.3109  0.493379   
 66.3776  0.43465   
 66.4443  0.358854   
 66.511  0.33529   
 66.5777  0.380418   
 66.6444  0.442598   
 66.7111  0.451218   
 66.7779  0.383867   
 66.8446  0.288163   
 66.9113  0.237626   
 66.978  0.263166   
 67.0447  0.32475   
 67.1114  0.349944   
 67.1781  0.302915   
 67.2448  0.218816   
 67.3115  0.17106   
 67.3783  0.202359   
 67.445  0.284522   
 67.5117  0.344939   
 67.5784  0.334771   
 67.6451  0.274555   
 67.7118  0.23424   
 67.7785  0.266509   
 67.8452  0.356305   
 67.9119  0.434209   
 67.9787  0.441088   
 68.0454  0.38309   
 68.1121  0.325163   
 68.1788  0.329241   
 68.2455  0.395425   
 68.3122  0.461648   
 68.3789  0.462154   
 68.4456  0.389643   
 68.5123  0.302469   
 68.5791  0.270081   
 68.6458  0.308147   
 68.7125  0.364501   
 68.7792  0.369135   
 68.8459  0.301049   
 68.9126  0.208869   
 68.9793  0.165752   
 69.046  0.201057   
 69.1127  0.273202   
 69.1795  0.309265   
 69.2462  0.273965   
 69.3129  0.202966   
 69.3796  0.16908   
 69.4463  0.213262   
 69.513  0.30549   
 69.5797  0.37244   
 69.6464  0.3659   
 69.7131  0.307435   
 69.7799  0.267221   
 69.8466  0.297057   
 69.9133  0.380762   
 69.98  0.448788   
 70.0467  0.443286   
 70.1134  0.372302   
 70.1801  0.302003   
 70.2468  0.29428   
 70.3135  0.348562   
 70.3803  0.402723   
 70.447  0.392189   
 70.5137  0.311492   
 70.5804  0.220172   
 70.6471  0.187441   
 70.7138  0.227734   
 70.7805  0.287899   
 70.8472  0.298061   
 70.9139  0.238153   
 70.9807  0.157337   
 71.0474  0.127979   
 71.1141  0.177557   
 71.1808  0.262722   
 71.2475  0.309961   
 71.3142  0.284541   
 71.3809  0.22272   
 71.4476  0.196885   
 71.5143  0.246523   
 71.5811  0.340167   
 71.6478  0.404248   
 71.7145  0.391678   
 71.7812  0.325536   
 71.8479  0.276685   
 71.9146  0.296473   
 71.9813  0.367991   
 72.048  0.421893   
 72.1147  0.401852   
 72.1815  0.317919   
 72.2482  0.23746   
 72.3149  0.222185   
 72.3816  0.27064   
 72.4483  0.320345   
 72.515  0.307541   
 72.5817  0.228141   
 72.6484  0.142373   
 72.7151  0.11869   
 72.7819  0.169808   
 72.8486  0.241168   
 72.9153  0.262672   
 72.982  0.214894   
 73.0487  0.147315   
 73.1154  0.131391   
 73.1821  0.192728   
 73.2488  0.286349   
 73.3155  0.338411   
 73.3823  0.315064   
 73.449  0.253549   
 73.5157  0.226259   
 73.5824  0.271686   
 73.6491  0.357427   
 73.7158  0.410165   
 73.7825  0.384384   
 73.8492  0.30504   
 73.9159  0.243945   
 73.9827  0.25216   
 74.0494  0.312134   
 74.1161  0.354714   
 74.1828  0.324966   
 74.2495  0.234699   
 74.3162  0.152115   
 74.3829  0.138317   
 74.4496  0.190499   
 74.5163  0.245364   
 74.5831  0.239493   
 74.6498  0.169714   
 74.7165  0.0964948   
 74.7832  0.0871483   
 74.8499  0.1524   
 74.9166  0.23613   
 74.9833  0.267981   
 75.05  0.229224   
 75.1167  0.169803   
 75.1835  0.160503   
 75.2502  0.225396   
 75.3169  0.318314   
 75.3836  0.365575   
 75.4503  0.334715   
 75.517  0.26444   
 75.5837  0.227587   
 75.6504  0.262059   
 75.7171  0.334868   
 75.7839  0.373234   
 75.8506  0.333385   
 75.9173  0.242184   
 75.984  0.172303   
 76.0507  0.174326   
 76.1174  0.229785   
 76.1841  0.269384   
 76.2508  0.239177   
 76.3175  0.152249   
 76.3843  0.0771221   
 76.451  0.0737817   
 76.5177  0.137615   
 76.5844  0.204119   
 76.6511  0.209906   
 76.7178  0.152475   
 76.7845  0.0923757   
 76.8512  0.0957332   
 76.9179  0.17136   
 76.9847  0.261788   
 77.0514  0.29671   
 77.1181  0.258478   
 77.1848  0.197914   
 77.2515  0.185586   
 77.3182  0.24452   
 77.3849  0.327858   
 77.4516  0.36256   
 77.5183  0.317953   
 77.5851  0.234513   
 77.6518  0.185728   
 77.7185  0.209018   
 77.7852  0.270835   
 77.8519  0.298859   
 77.9186  0.250866   
 77.9853  0.155322   
